posting_id,skill
JP124212,SQL
JP124212,Power BI
JP124212,Tableau
JP124212,MLOps
JP115065,Excel
JP115065,AWS
JP115065,Databricks
JP115065,Machine Learning
JP115065,Prompt Engineering
JP115065,ETL
JP110969,Python
JP110969,Excel
JP110969,Azure
JP110969,A/B Testing
JP110969,ETL
JP110969,Git
JP124730,SQL
JP124730,Excel
JP124730,Power BI
JP135681,Python
JP135681,Power BI
JP135681,Tableau
JP135681,Azure
JP135681,RAG
JP103475,SQL
JP103475,Excel
JP103475,Power BI
JP103475,Azure
JP103475,AWS
JP103475,Airflow
JP100167,Python
JP118590,SQL
JP118590,Python
JP118590,Power BI
JP118590,Azure
JP118590,AWS
JP118590,Databricks
JP118590,Machine Learning
JP118590,ETL
JP118590,Git
JP123174,SQL
JP123174,MLOps
JP123174,Git
JP110436,SQL
JP110436,Python
JP110436,Power BI
JP110436,Databricks
JP116934,Python
JP116934,Power BI
JP116934,AWS
JP116934,Airflow
JP133643,Python
JP133643,Machine Learning
JP133643,LLMs
JP133643,GenAI
JP133643,RAG
JP133643,Prompt Engineering
JP138095,SQL
JP138095,Machine Learning
JP138095,LLMs
JP138095,Prompt Engineering
JP138095,MLOps
JP138095,Git
JP127980,SQL
JP127980,Power BI
JP127980,Databricks
JP138363,SQL
JP138363,Excel
JP138363,Power BI
JP138363,Machine Learning
JP138363,MLOps
JP138363,A/B Testing
JP131171,Python
JP131171,Power BI
JP131171,Tableau
JP131171,Machine Learning
JP131171,LLMs
JP131171,Prompt Engineering
JP131171,A/B Testing
JP131171,ETL
JP109374,SQL
JP109374,Tableau
JP109374,R
JP109374,AWS
JP109374,Databricks
JP109374,ETL
JP104548,SQL
JP104548,Python
JP104548,Power BI
JP104548,Azure
JP104548,AWS
JP104548,Airflow
JP104548,Statistics
JP127119,Power BI
JP127119,Databricks
JP127119,Spark
JP127119,RAG
JP127119,MLOps
JP127119,Data Modelling
JP112470,SQL
JP112470,Python
JP112470,Power BI
JP112470,Data Modelling
JP139290,Python
JP139290,Excel
JP139290,Power BI
JP139290,Azure
JP139290,Machine Learning
JP139290,MLOps
JP139290,Git
JP125648,Python
JP125648,Excel
JP125648,Power BI
JP125648,Tableau
JP125648,Spark
JP125648,MLOps
JP125648,A/B Testing
JP132406,SQL
JP132406,Python
JP132406,Excel
JP132406,Power BI
JP132406,Tableau
JP132406,Azure
JP132406,Spark
JP132406,Airflow
JP132406,Statistics
JP132406,ETL
JP128524,SQL
JP128524,Python
JP128524,Excel
JP128524,Azure
JP128524,Statistics
JP128524,ETL
JP127565,SQL
JP127565,Python
JP127565,Tableau
JP127565,dbt
JP127565,Statistics
JP130464,SQL
JP130464,Power BI
JP130464,AWS
JP130464,Machine Learning
JP130464,Data Modelling
JP130464,ETL
JP122431,SQL
JP122431,Power BI
JP122431,AWS
JP122431,Machine Learning
JP122431,Data Modelling
JP116059,SQL
JP116059,Excel
JP116059,Power BI
JP116059,Azure
JP116059,Databricks
JP116059,Spark
JP116059,dbt
JP116059,LLMs
JP116059,Data Modelling
JP104066,SQL
JP104066,Excel
JP104066,Power BI
JP104066,Azure
JP104066,Databricks
JP104066,Spark
JP104066,MLOps
JP104066,Data Modelling
JP107637,SQL
JP107637,Python
JP107637,Power BI
JP107637,Tableau
JP104580,SQL
JP104580,Python
JP104580,Excel
JP104580,LLMs
JP104580,Data Modelling
JP104580,ETL
JP139895,SQL
JP139895,Python
JP139895,Excel
JP139895,Azure
JP139895,Machine Learning
JP139895,GenAI
JP139895,ETL
JP119511,SQL
JP119511,Python
JP119511,Excel
JP119511,Power BI
JP119511,Snowflake
JP119511,Spark
JP131883,Power BI
JP131883,Azure
JP131883,Databricks
JP131883,Machine Learning
JP131883,A/B Testing
JP131883,Data Modelling
JP133118,SQL
JP133118,Python
JP133118,Excel
JP133118,Machine Learning
JP133118,LLMs
JP133118,GenAI
JP133118,RAG
JP133118,MLOps
JP133118,Statistics
JP133118,A/B Testing
JP133118,Data Modelling
JP111679,SQL
JP111679,Python
JP111679,Excel
JP111679,Azure
JP111679,Spark
JP111679,Machine Learning
JP111679,LLMs
JP111679,GenAI
JP111679,RAG
JP111679,Prompt Engineering
JP111679,MLOps
JP111679,Data Modelling
JP111679,Git
JP112951,SQL
JP112951,Excel
JP112951,Power BI
JP100045,dbt
JP100045,Airflow
JP100045,Machine Learning
JP100045,LLMs
JP100919,SQL
JP100919,Python
JP100919,Excel
JP100919,Azure
JP100919,dbt
JP100919,Machine Learning
JP100919,LLMs
JP100919,GenAI
JP100919,RAG
JP100919,MLOps
JP131075,SQL
JP131075,Power BI
JP131075,Tableau
JP131075,Snowflake
JP131075,Spark
JP138688,SQL
JP138688,Excel
JP138688,Tableau
JP138688,Databricks
JP138688,Machine Learning
JP138688,LLMs
JP138688,Prompt Engineering
JP138688,MLOps
JP132051,SQL
JP132051,Excel
JP132051,AWS
JP132051,Machine Learning
JP132051,LLMs
JP132051,GenAI
JP132051,RAG
JP115388,SQL
JP115388,Python
JP115388,Excel
JP115388,Azure
JP115388,Spark
JP115388,dbt
JP115388,Airflow
JP135804,SQL
JP135804,LLMs
JP135804,GenAI
JP135804,RAG
JP135804,Prompt Engineering
JP135804,MLOps
JP135804,Statistics
JP104044,Python
JP104044,Excel
JP104044,Power BI
JP104044,Azure
JP104044,AWS
JP104044,Databricks
JP104044,ETL
JP104044,Git
JP100306,SQL
JP100306,Python
JP100306,Excel
JP100306,Azure
JP100306,AWS
JP100306,dbt
JP100306,MLOps
JP100306,Data Modelling
JP100306,Git
JP103740,SQL
JP103740,Azure
JP103740,Databricks
JP102579,SQL
JP102579,Power BI
JP102579,Databricks
JP102579,Git
JP102650,SQL
JP102650,Power BI
JP102650,Databricks
JP102650,Machine Learning
JP102650,LLMs
JP102650,RAG
JP102650,MLOps
JP110172,SQL
JP110172,Python
JP110172,Excel
JP110172,Tableau
JP110172,Azure
JP110172,Databricks
JP110172,Spark
JP130789,SQL
JP130789,Python
JP130789,Excel
JP130789,Power BI
JP130789,Azure
JP130789,AWS
JP130789,Statistics
JP130789,Data Modelling
JP130789,ETL
JP134563,SQL
JP134563,Python
JP134563,Power BI
JP134563,Tableau
JP134563,Machine Learning
JP134563,LLMs
JP134563,GenAI
JP134563,MLOps
JP117862,SQL
JP117862,Power BI
JP117862,Machine Learning
JP117862,LLMs
JP117862,GenAI
JP117862,Prompt Engineering
JP117862,Statistics
JP117862,ETL
JP129855,Python
JP129855,Tableau
JP129855,Azure
JP129855,Data Modelling
JP129855,ETL
JP129855,Git
JP134296,SQL
JP134296,Excel
JP134296,Power BI
JP134296,Tableau
JP134296,Azure
JP134296,Spark
JP101661,Python
JP101661,dbt
JP101661,Machine Learning
JP101661,ETL
JP114059,SQL
JP114059,Python
JP114059,Power BI
JP114059,AWS
JP114059,Machine Learning
JP114059,LLMs
JP114059,Statistics
JP120757,SQL
JP120757,Python
JP120757,Azure
JP120757,ETL
JP138388,SQL
JP138388,Python
JP138388,Excel
JP138388,R
JP138388,Databricks
JP138388,Machine Learning
JP122048,SQL
JP122048,Python
JP122048,Excel
JP122048,Power BI
JP122048,Snowflake
JP122669,Power BI
JP122669,Tableau
JP122669,Snowflake
JP129198,SQL
JP129198,Excel
JP129198,Power BI
JP129198,Tableau
JP129198,AWS
JP129198,Machine Learning
JP112617,SQL
JP112617,Power BI
JP112617,Machine Learning
JP112617,Data Modelling
JP113070,SQL
JP113070,Python
JP113070,Excel
JP113070,Airflow
JP113070,A/B Testing
JP113070,ETL
JP106798,SQL
JP106798,Python
JP106798,Power BI
JP106798,Azure
JP106798,AWS
JP106798,Snowflake
JP106798,Databricks
JP106798,dbt
JP106798,Machine Learning
JP106798,LLMs
JP106798,MLOps
JP121401,SQL
JP121401,Power BI
JP121401,Azure
JP121401,AWS
JP121401,MLOps
JP107319,SQL
JP107319,Excel
JP107319,Power BI
JP107319,AWS
JP107319,dbt
JP107319,Machine Learning
JP107319,GenAI
JP107319,RAG
JP107319,Prompt Engineering
JP107319,MLOps
JP104267,SQL
JP104267,Power BI
JP104267,Machine Learning
JP104267,LLMs
JP104267,MLOps
JP104267,Git
JP116226,SQL
JP116226,Spark
JP116226,Statistics
JP116226,Data Modelling
JP101399,SQL
JP101399,Power BI
JP101399,Azure
JP101399,Databricks
JP101399,dbt
JP101399,GenAI
JP101399,Git
JP113182,SQL
JP113182,Python
JP113182,Excel
JP113182,Power BI
JP113182,AWS
JP113182,ETL
JP113182,Git
JP111926,SQL
JP111926,Python
JP111926,Power BI
JP111926,AWS
JP111926,Snowflake
JP129572,Python
JP129572,Excel
JP129572,Power BI
JP129572,R
JP129572,AWS
JP129572,Spark
JP129572,Machine Learning
JP129572,LLMs
JP129572,RAG
JP129572,ETL
JP124306,SQL
JP124306,Python
JP124306,Power BI
JP124306,AWS
JP124306,Databricks
JP124306,GenAI
JP109684,SQL
JP109684,Python
JP109684,Excel
JP109684,Power BI
JP109684,Snowflake
JP109684,Machine Learning
JP109684,LLMs
JP109684,GenAI
JP109684,RAG
JP109684,MLOps
JP125605,SQL
JP125605,Python
JP125605,Excel
JP125605,Power BI
JP125605,Azure
JP125605,Snowflake
JP125605,Statistics
JP125605,Git
JP102475,SQL
JP102475,Python
JP102475,Azure
JP102475,AWS
JP102475,Snowflake
JP102475,Databricks
JP102475,dbt
JP102475,ETL
JP109465,SQL
JP109465,Python
JP109465,Excel
JP109465,Power BI
JP109465,Azure
JP109465,ETL
JP124398,SQL
JP124398,Excel
JP124398,AWS
JP124398,Snowflake
JP124398,Machine Learning
JP112890,SQL
JP112890,Excel
JP112890,Statistics
JP112890,Data Modelling
JP112890,ETL
JP130687,SQL
JP130687,Python
JP130687,Excel
JP130687,Machine Learning
JP110511,SQL
JP110511,Power BI
JP110511,Machine Learning
JP110511,LLMs
JP110511,GenAI
JP110511,RAG
JP110511,Prompt Engineering
JP110511,MLOps
JP108800,Excel
JP108800,Power BI
JP108800,AWS
JP108800,Statistics
JP108800,A/B Testing
JP108800,ETL
JP128674,Python
JP128674,Azure
JP128674,AWS
JP128674,Git
JP108054,Python
JP108054,Excel
JP108054,Machine Learning
JP127025,SQL
JP127025,Python
JP127025,Excel
JP127025,Power BI
JP127025,Tableau
JP127025,Machine Learning
JP127025,A/B Testing
JP127025,Git
JP115580,SQL
JP115580,Excel
JP115580,Power BI
JP115580,Azure
JP115580,AWS
JP115580,Snowflake
JP115580,Spark
JP115580,Machine Learning
JP139206,SQL
JP139206,Python
JP139206,Excel
JP139206,R
JP139206,RAG
JP139206,MLOps
JP139206,ETL
JP134185,Python
JP134185,Power BI
JP134185,Azure
JP134185,dbt
JP134185,ETL
JP102987,Python
JP102987,Power BI
JP102987,Tableau
JP102987,Snowflake
JP102987,dbt
JP102987,LLMs
JP102987,Data Modelling
JP102987,Git
JP125790,SQL
JP125790,Excel
JP125790,Azure
JP125790,Snowflake
JP125790,Databricks
JP125790,Spark
JP125790,A/B Testing
JP125790,ETL
JP102525,SQL
JP102525,Power BI
JP102525,Databricks
JP102525,Airflow
JP102525,A/B Testing
JP127871,SQL
JP127871,Tableau
JP127871,AWS
JP127871,Machine Learning
JP127871,LLMs
JP127871,GenAI
JP127871,Data Modelling
JP129054,Python
JP129054,Power BI
JP129054,Azure
JP129054,Airflow
JP129054,Machine Learning
JP104974,SQL
JP104974,Python
JP104974,Excel
JP104974,Power BI
JP104974,R
JP103432,SQL
JP103432,Python
JP103432,Tableau
JP103432,Snowflake
JP103432,Airflow
JP103432,GenAI
JP103432,MLOps
JP133409,SQL
JP133409,Python
JP133409,AWS
JP133409,dbt
JP133409,LLMs
JP133409,RAG
JP133409,Prompt Engineering
JP133409,Statistics
JP135694,SQL
JP135694,Power BI
JP135694,Tableau
JP135694,Machine Learning
JP135694,Prompt Engineering
JP135694,Git
JP120833,SQL
JP120833,Power BI
JP120833,Tableau
JP120833,Snowflake
JP120833,Spark
JP125015,SQL
JP125015,Power BI
JP125015,Azure
JP125015,Spark
JP125015,LLMs
JP106569,Python
JP106569,Excel
JP106569,Azure
JP106569,AWS
JP106569,Snowflake
JP106569,Spark
JP106569,LLMs
JP106569,GenAI
JP106569,ETL
JP123375,SQL
JP123375,Excel
JP123375,R
JP123375,Azure
JP123375,Databricks
JP123375,GenAI
JP123375,Statistics
JP124364,SQL
JP124364,Python
JP124364,Excel
JP124364,Tableau
JP124364,Machine Learning
JP124364,LLMs
JP124364,GenAI
JP124364,Statistics
JP124364,ETL
JP137760,Python
JP137760,Excel
JP137760,Power BI
JP137760,Spark
JP137760,dbt
JP137760,Machine Learning
JP139398,SQL
JP139398,Python
JP139398,Power BI
JP139398,Azure
JP139398,Databricks
JP139398,Machine Learning
JP139398,GenAI
JP139398,MLOps
JP139398,ETL
JP136947,SQL
JP136947,Power BI
JP136947,AWS
JP136947,Databricks
JP100396,SQL
JP100396,Azure
JP100396,AWS
JP100396,Databricks
JP100396,Statistics
JP100396,Data Modelling
JP100396,ETL
JP122568,SQL
JP122568,Power BI
JP122568,Tableau
JP122568,dbt
JP122568,A/B Testing
JP122568,ETL
JP123276,SQL
JP123276,Python
JP123276,Excel
JP123276,Power BI
JP123276,Tableau
JP101477,SQL
JP101477,Python
JP101477,Excel
JP101477,Azure
JP101477,dbt
JP101477,A/B Testing
JP101477,Data Modelling
JP101477,ETL
JP135203,Power BI
JP135203,Spark
JP135203,dbt
JP135203,Machine Learning
JP135203,LLMs
JP135203,GenAI
JP135203,RAG
JP135203,MLOps
JP130043,Python
JP130043,Power BI
JP130043,Machine Learning
JP106447,SQL
JP106447,Excel
JP106447,Power BI
JP106447,Statistics
JP106447,Data Modelling
JP112460,SQL
JP112460,Excel
JP112460,Power BI
JP112460,Azure
JP112460,Data Modelling
JP112460,Git
JP101972,SQL
JP101972,Power BI
JP101972,Machine Learning
JP101972,A/B Testing
JP101972,Data Modelling
JP132091,Python
JP132091,Power BI
JP132091,Azure
JP132091,AWS
JP132091,Databricks
JP132091,Machine Learning
JP132091,LLMs
JP132091,Git
JP123692,SQL
JP123692,Python
JP123692,Power BI
JP123692,AWS
JP123692,Machine Learning
JP123692,ETL
JP109932,SQL
JP109932,Python
JP109932,Excel
JP109932,Power BI
JP109932,Azure
JP109932,AWS
JP109932,dbt
JP109932,Machine Learning
JP109932,LLMs
JP109932,GenAI
JP113518,SQL
JP113518,Python
JP113518,Power BI
JP113518,Snowflake
JP113518,Statistics
JP117350,SQL
JP117350,Azure
JP117350,Snowflake
JP117350,GenAI
JP117350,Prompt Engineering
JP117350,MLOps
JP117350,Data Modelling
JP117350,Git
JP114153,SQL
JP114153,Power BI
JP114153,Spark
JP114153,Statistics
JP114153,Git
JP129087,SQL
JP129087,Python
JP129087,Power BI
JP120436,SQL
JP120436,Python
JP120436,Excel
JP120436,Power BI
JP120436,Databricks
JP120436,dbt
JP120436,RAG
JP105124,SQL
JP105124,Python
JP105124,Excel
JP105124,Databricks
JP105124,Machine Learning
JP105124,ETL
JP120952,Python
JP120952,Excel
JP120952,Azure
JP120952,AWS
JP120952,ETL
JP133011,SQL
JP133011,Python
JP128959,SQL
JP128959,Power BI
JP128959,Azure
JP128959,Snowflake
JP128959,Spark
JP128959,dbt
JP128959,GenAI
JP128959,ETL
JP128959,Git
JP135559,SQL
JP135559,Python
JP135559,Snowflake
JP135559,Machine Learning
JP135559,LLMs
JP135559,GenAI
JP135559,RAG
JP135559,Prompt Engineering
JP135559,MLOps
JP135559,Data Modelling
JP135559,ETL
JP127061,SQL
JP127061,Python
JP127061,AWS
JP127061,Spark
JP127061,RAG
JP127061,Data Modelling
JP129471,SQL
JP129471,Python
JP129471,Excel
JP129471,Statistics
JP119730,SQL
JP119730,Python
JP119730,Power BI
JP119730,Azure
JP119730,Airflow
JP119730,Prompt Engineering
JP114049,Python
JP114049,Power BI
JP114049,AWS
JP114049,ETL
JP107559,SQL
JP107559,Python
JP107559,Excel
JP107559,Spark
JP107559,dbt
JP107559,Machine Learning
JP107559,A/B Testing
JP126586,SQL
JP126586,Python
JP126586,Excel
JP126586,Power BI
JP126586,Git
JP132548,SQL
JP132548,Python
JP132548,Tableau
JP132548,Spark
JP133762,Excel
JP133762,Azure
JP109803,Python
JP109803,Power BI
JP109803,AWS
JP109803,Databricks
JP109803,Statistics
JP126313,SQL
JP126313,Python
JP126313,Excel
JP126313,Power BI
JP126313,R
JP126313,AWS
JP126313,Machine Learning
JP107634,SQL
JP107634,Python
JP107634,Excel
JP107634,Power BI
JP107634,Tableau
JP107634,AWS
JP107634,MLOps
JP110849,Python
JP110849,Power BI
JP110849,Azure
JP110849,Snowflake
JP110849,Databricks
JP110849,Airflow
JP110849,Machine Learning
JP110849,ETL
JP108889,SQL
JP108889,Python
JP108889,Excel
JP108889,Power BI
JP108889,Tableau
JP108889,AWS
JP108889,Data Modelling
JP127242,SQL
JP127242,Power BI
JP127242,Machine Learning
JP127242,LLMs
JP127242,RAG
JP127242,Prompt Engineering
JP127242,ETL
JP104469,SQL
JP104469,Excel
JP104469,Power BI
JP104469,Tableau
JP104469,Airflow
JP104469,Machine Learning
JP104469,Statistics
JP104469,ETL
JP134587,Python
JP134587,AWS
JP134587,ETL
JP123667,SQL
JP123667,Python
JP123667,Power BI
JP123667,Azure
JP123667,AWS
JP123667,dbt
JP123667,Airflow
JP123667,Machine Learning
JP123667,ETL
JP103079,SQL
JP103079,Excel
JP103079,Power BI
JP103079,Tableau
JP103079,AWS
JP103079,MLOps
JP100931,Python
JP100931,Excel
JP100931,Power BI
JP100931,LLMs
JP100931,MLOps
JP132249,SQL
JP132249,Python
JP132249,Excel
JP132249,Power BI
JP132249,AWS
JP132249,Statistics
JP107791,SQL
JP107791,Excel
JP107791,Azure
JP107791,AWS
JP107791,Data Modelling
JP139652,SQL
JP139652,Excel
JP139652,Azure
JP139652,Machine Learning
JP139652,LLMs
JP139652,GenAI
JP139652,Prompt Engineering
JP139652,Statistics
JP139652,ETL
JP139652,Git
JP123975,SQL
JP123975,Power BI
JP123975,Azure
JP123975,Snowflake
JP123975,MLOps
JP136889,Python
JP136889,Excel
JP136889,R
JP136889,Azure
JP136889,AWS
JP136889,Snowflake
JP136889,Databricks
JP136889,Machine Learning
JP136889,LLMs
JP136889,RAG
JP122801,SQL
JP122801,Excel
JP124076,SQL
JP124076,Python
JP124076,Power BI
JP124076,Tableau
JP124076,Azure
JP124076,Data Modelling
JP139620,RAG
JP136326,SQL
JP136326,Excel
JP136326,Power BI
JP136326,Snowflake
JP136326,Machine Learning
JP136326,Statistics
JP135473,SQL
JP135473,Python
JP135473,R
JP135473,Snowflake
JP135473,Machine Learning
JP135473,Statistics
JP133176,SQL
JP133176,Python
JP133176,Excel
JP133176,Power BI
JP133176,Azure
JP133176,Machine Learning
JP133176,LLMs
JP133176,GenAI
JP133176,RAG
JP133176,MLOps
JP133176,ETL
JP125510,SQL
JP125510,Python
JP125510,Tableau
JP125510,Snowflake
JP125510,LLMs
JP125510,RAG
JP125510,MLOps
JP125510,Git
JP122664,Excel
JP122664,dbt
JP112338,SQL
JP112338,Excel
JP112338,Azure
JP112338,AWS
JP112338,Spark
JP112338,dbt
JP112338,Airflow
JP112338,RAG
JP139819,Excel
JP139819,Tableau
JP139819,AWS
JP139819,Airflow
JP139819,Data Modelling
JP112691,SQL
JP112691,Python
JP112691,Excel
JP112691,Tableau
JP112691,Machine Learning
JP112691,LLMs
JP112691,GenAI
JP112691,MLOps
JP103407,SQL
JP103407,Python
JP103407,Azure
JP103407,Machine Learning
JP103407,LLMs
JP103407,GenAI
JP103407,ETL
JP103407,Git
JP102816,SQL
JP102816,Python
JP102816,Databricks
JP102816,LLMs
JP102816,GenAI
JP102816,RAG
JP102816,MLOps
JP102816,ETL
JP110660,Power BI
JP110660,Prompt Engineering
JP110660,ETL
JP132915,SQL
JP132915,Excel
JP132915,ETL
JP115501,Python
JP115501,Tableau
JP115501,Airflow
JP116413,SQL
JP116413,Power BI
JP116413,Machine Learning
JP136522,SQL
JP136522,Python
JP136522,Power BI
JP136522,Tableau
